,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,scorecard_link
0,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",T20I # 1823,https://www.espncricinfo.com/ci/engine/match/1298135.html
1,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",T20I # 1825,https://www.espncricinfo.com/ci/engine/match/1298136.html
2,Scotland,West Indies,Scotland,42 runs,Hobart,"Oct 17, 2022",T20I # 1826,https://www.espncricinfo.com/ci/engine/match/1298137.html
3,Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,"Oct 17, 2022",T20I # 1828,https://www.espncricinfo.com/ci/engine/match/1298138.html
4,Namibia,Netherlands,Netherlands,5 wickets,Geelong,"Oct 18, 2022",T20I # 1830,https://www.espncricinfo.com/ci/engine/match/1298139.html
5,Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,"Oct 18, 2022",T20I # 1832,https://www.espncricinfo.com/ci/engine/match/1298140.html
6,Ireland,Scotland,Ireland,6 wickets,Hobart,"Oct 19, 2022",T20I # 1833,https://www.espncricinfo.com/ci/engine/match/1298141.html
7,West Indies,Zimbabwe,West Indies,31 runs,Hobart,"Oct 19, 2022",T20I # 1834,https://www.espncricinfo.com/ci/engine/match/1298142.html
8,Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,"Oct 20, 2022",T20I # 1835,https://www.espncricinfo.com/ci/engine/match/1298143.html
9,Namibia,U.A.E.,U.A.E.,7 runs,Geelong,"Oct 20, 2022",T20I # 1836,https://www.espncricinfo.com/ci/engine/match/1298144.html
10,Ireland,West Indies,Ireland,9 wickets,Hobart,"Oct 21, 2022",T20I # 1837,https://www.espncricinfo.com/ci/engine/match/1298145.html
11,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,"Oct 21, 2022",T20I # 1838,https://www.espncricinfo.com/ci/engine/match/1298146.html
12,Australia,New Zealand,New Zealand,89 runs,Sydney,"Oct 22, 2022",T20I # 1839,https://www.espncricinfo.com/ci/engine/match/1298147.html
13,Afghanistan,England,England,5 wickets,Perth,"Oct 22, 2022",T20I # 1840,https://www.espncricinfo.com/ci/engine/match/1298148.html
14,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,"Oct 23, 2022",T20I # 1841,https://www.espncricinfo.com/ci/engine/match/1298149.html
15,India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",T20I # 1842,https://www.espncricinfo.com/ci/engine/match/1298150.html
16,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,"Oct 24, 2022",T20I # 1843,https://www.espncricinfo.com/ci/engine/match/1298151.html
17,South Africa,Zimbabwe,no result,,Hobart,"Oct 24, 2022",T20I # 1844,https://www.espncricinfo.com/ci/engine/match/1298152.html
18,Australia,Sri Lanka,Australia,7 wickets,Perth,"Oct 25, 2022",T20I # 1845,https://www.espncricinfo.com/ci/engine/match/1298153.html
19,England,Ireland,Ireland,5 runs,Melbourne,"Oct 26, 2022",T20I # 1846,https://www.espncricinfo.com/ci/engine/match/1298154.html
20,Afghanistan,New Zealand,abandoned,,Melbourne,"Oct 26, 2022",T20I # 1846a,https://www.espncricinfo.com/ci/engine/match/1298155.html
21,Bangladesh,South Africa,South Africa,104 runs,Sydney,"Oct 27, 2022",T20I # 1847,https://www.espncricinfo.com/ci/engine/match/1298156.html
22,India,Netherlands,India,56 runs,Sydney,"Oct 27, 2022",T20I # 1848,https://www.espncricinfo.com/ci/engine/match/1298157.html
23,Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,"Oct 27, 2022",T20I # 1849,https://www.espncricinfo.com/ci/engine/match/1298158.html
24,Afghanistan,Ireland,abandoned,,Melbourne,"Oct 28, 2022",T20I # 1849a,https://www.espncricinfo.com/ci/engine/match/1298159.html
25,Australia,England,abandoned,,Melbourne,"Oct 28, 2022",T20I # 1849b,https://www.espncricinfo.com/ci/engine/match/1298160.html
26,New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,"Oct 29, 2022",T20I # 1850,https://www.espncricinfo.com/ci/engine/match/1298161.html
27,Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,"Oct 30, 2022",T20I # 1851,https://www.espncricinfo.com/ci/engine/match/1298162.html
28,Netherlands,Pakistan,Pakistan,6 wickets,Perth,"Oct 30, 2022",T20I # 1852,https://www.espncricinfo.com/ci/engine/match/1298163.html
29,India,South Africa,South Africa,5 wickets,Perth,"Oct 30, 2022",T20I # 1853,https://www.espncricinfo.com/ci/engine/match/1298164.html
30,Australia,Ireland,Australia,42 runs,Brisbane,"Oct 31, 2022",T20I # 1855,https://www.espncricinfo.com/ci/engine/match/1298165.html
31,Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,"Nov 1, 2022",T20I # 1856,https://www.espncricinfo.com/ci/engine/match/1298166.html
32,England,New Zealand,England,20 runs,Brisbane,"Nov 1, 2022",T20I # 1858,https://www.espncricinfo.com/ci/engine/match/1298167.html
33,Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,"Nov 2, 2022",T20I # 1859,https://www.espncricinfo.com/ci/engine/match/1298168.html
34,Bangladesh,India,India,5 runs,Adelaide,"Nov 2, 2022",T20I # 1860,https://www.espncricinfo.com/ci/engine/match/1298169.html
35,Pakistan,South Africa,Pakistan,33 runs,Sydney,"Nov 3, 2022",T20I # 1861,https://www.espncricinfo.com/ci/engine/match/1298170.html
36,Ireland,New Zealand,New Zealand,35 runs,Adelaide,"Nov 4, 2022",T20I # 1862,https://www.espncricinfo.com/ci/engine/match/1298171.html
37,Australia,Afghanistan,Australia,4 runs,Adelaide,"Nov 4, 2022",T20I # 1864,https://www.espncricinfo.com/ci/engine/match/1298172.html
38,England,Sri Lanka,England,4 wickets,Sydney,"Nov 5, 2022",T20I # 1867,https://www.espncricinfo.com/ci/engine/match/1298173.html
39,Netherlands,South Africa,Netherlands,13 runs,Adelaide,"Nov 6, 2022",T20I # 1871,https://www.espncricinfo.com/ci/engine/match/1298174.html
40,Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,"Nov 6, 2022",T20I # 1872,https://www.espncricinfo.com/ci/engine/match/1298175.html
41,India,Zimbabwe,India,71 runs,Melbourne,"Nov 6, 2022",T20I # 1873,https://www.espncricinfo.com/ci/engine/match/1298176.html
42,New Zealand,Pakistan,Pakistan,7 wickets,Sydney,"Nov 9, 2022",T20I # 1877,https://www.espncricinfo.com/ci/engine/match/1298177.html
43,England,India,England,10 wickets,Adelaide,"Nov 10, 2022",T20I # 1878,https://www.espncricinfo.com/ci/engine/match/1298178.html
44,England,Pakistan,England,5 wickets,Melbourne,"Nov 13, 2022",T20I # 1879,https://www.espncricinfo.com/ci/engine/match/1298179.html
